deep	ADJamodNOUN	network	0
Neural	PROPNcompoundNOUN	network	0
Neural	PROPNinCOMPOUND	Neural network	0
network	NOUNinCOMPOUND	Neural network	0
0	ABOUT	Neural network	0
model	NOUNrev_nsubjNOUN	network	0
0	ABOUT	network	0
(	PUNCTpunctNOUN	dnn	0
dnn	NOUNapposNOUN	network	0
)	PUNCTpunctNOUN	dnn	0
be	AUXcopNOUN	model	0
extremely	ADVadvmodADJ	powerful	0
powerful	ADJamodNOUN	model	0
machine	NOUNcompoundNOUN	model	0
machine	NOUNinCOMPOUND	machine model	0
model	NOUNinCOMPOUND	machine model	0
0	ABOUT	machine model	0
learning	NOUNcompoundNOUN	model	0
learning	NOUNinCOMPOUND	learning model	0
model	NOUNinCOMPOUND	learning model	0
0	ABOUT	learning model	0
model	NOUN_PREDICATE_OF	0	0
that	PRONnsubjVERB	achieve	0
achieve	VERBacl:relclNOUN	model	0
excellent	ADJamodNOUN	performance	0
achieve	VERBrev_objNOUN	performance	0
0	ABOUT	performance	0
on	ADPcaseNOUN	problem	0
difficult	ADJamodNOUN	problem	0
problem	NOUNnmodNOUN	performance	0
such	ADJcaseNOUN	recognition	0
as	ADPfixedADJ	such	0
speech	NOUNcompoundNOUN	recognition	0
speech	NOUNinCOMPOUND	speech recognition	0
recognition	NOUNinCOMPOUND	speech recognition	0
0	ABOUT	speech recognition	0
recognition	NOUNnmodNOUN	problem	0
[	PUNCTpunctNUM	13	0
13	NUMapposNOUN	recognition	0
,	PUNCTpunctNUM	7	0
7	NUMconjNUM	13	0
]	PUNCTpunctNOUN	recognition	0
and	CCONJccNOUN	recognition	0
visual	ADJamodNOUN	recognition	0
object	NOUNcompoundNOUN	recognition	0
object	NOUNinCOMPOUND	object recognition	0
recognition	NOUNinCOMPOUND	object recognition	0
0	ABOUT	object recognition	0
recognition	NOUNconjNOUN	recognition	0
[	PUNCTpunctNUM	19	0
19	NUMapposNOUN	recognition	0
,	PUNCTpunctNUM	19	0
6	NUMconjNUM	19	0
,	PUNCTpunctNUM	19	0
21	NUMconjNUM	19	0
,	PUNCTpunctNUM	19	0
20	NUMconjNUM	19	0
]	PUNCTpunctNUM	19	0
.	PUNCTpunctNOUN	model	0
DNNs	PROPNnsubjADJ	powerful	1
be	AUXcopADJ	powerful	1
powerful	ADJ_PREDICATE_OF	1	1
because	SCONJmarkVERB	perform	1
they	PRONnsubjVERB	perform	1
can	AUXauxVERB	perform	1
perform	VERBadvclADJ	powerful	1
arbitrary	ADJamodADJ	parallel	1
parallel	ADJobjVERB	perform	1
a	DETdetNOUN	number	1
modest	ADJamodNOUN	number	1
perform	VERBrev_objNOUN	number	1
1	ABOUT	number	1
of	ADPcaseNOUN	step	1
step	NOUNnmodNOUN	number	1
.	PUNCTpunctADJ	powerful	1
a	DETdetNOUN	example	2
surprising	ADJamodNOUN	example	2
ability	NOUNrev_nsubjNOUN	example	2
2	ABOUT	example	2
of	ADPcaseNOUN	power	2
the	DETdetNOUN	power	2
power	NOUNnmodNOUN	example	2
of	ADPcasePROPN	DNNs	2
DNNs	PROPNnmodNOUN	power	2
be	AUXcopNOUN	ability	2
they	PRONnmod:possNOUN	ability	2
ability	NOUN_PREDICATE_OF	2	2
to	PARTmarkVERB	n-bit	2
n-bit	VERBaclNOUN	ability	2
n-bit	VERBrev_objNOUN	number	2
2	ABOUT	number	2
use	VERBadvclVERB	n-bit	2
only	ADVadvmodNOUN	layer	2
2	NUMnummodNOUN	layer	2
hidden	ADJamodNOUN	layer	2
use	VERBrev_objNOUN	layer	2
2	ABOUT	layer	2
of	ADPcaseNOUN	size	2
quadratic	ADJamodNOUN	size	2
size	NOUNnmodNOUN	layer	2
[	PUNCTpunctNUM	27	2
27	NUMapposNOUN	size	2
]	PUNCTpunctNUM	27	2
.	PUNCTpunctNOUN	ability	2
so	ADVadvmodVERB	learn	3
,	PUNCTpunctVERB	learn	3
while	SCONJmarkNOUN	network	3
neural	ADJamodNOUN	network	3
network	NOUNadvclVERB	learn	3
